player,team_home,shot_type,situation,body_part,x,y,xg,minute,distance_to_goal,count
Erling Haaland,False,save,assisted,head,9.5,39.2,0.022336909547448,90,14.383671297690306,1
Erling Haaland,False,block,assisted,left-foot,14.4,46.6,0.14918926358223,90,14.795945390545343,1
Erling Haaland,False,miss,corner,head,4.1,39.9,0.085186459124088,87,10.900458705944445,1
Cole Palmer,True,save,free-kick,left-foot,18.4,61.8,0.10078578442335,85,21.858636736997113,1
Marc Cucurella,True,save,assisted,head,4.2,44.5,0.52423018217087,83,6.920260110718383,1
Antoine Semenyo,False,save,regular,right-foot,21.3,42.7,0.074562549591064,80,22.516216378423795,1
Antoine Semenyo,False,miss,regular,right-foot,18.5,32.5,0.041636165231466,79,25.465663156493687,1
Abdukodir Khusanov,False,miss,assisted,right-foot,28.1,55.6,0.027815859764814,75,28.65257405539684,1
João Pedro,True,block,regular,right-foot,26.2,22.9,0.010763050988317,74,37.69416400452462,1
Marc Cucurella,True,miss,assisted,left-foot,22.5,31.3,0.022042056545615,71,29.25645227979633,1
Moisés Caicedo,True,block,assisted,right-foot,23.9,44.5,0.0335598513484,71,24.5246814454337,1
João Pedro,True,miss,assisted,head,7.4,50.7,0.11643762141466,70,7.433034373659253,1
Jérémy Doku,False,goal,regular,left-foot,9.7,43.0,0.095419138669968,68,11.96202324023825,1
Antoine Semenyo,False,save,assisted,right-foot,11.1,70.9,0.035154193639755,68,23.664741705752892,1
Cole Palmer,True,block,assisted,left-foot,14.1,41.9,0.091714173555374,66,16.260996279441184,1
Marc Guéhi,False,goal,corner,right-foot,11.7,60.9,0.32707303762436,57,15.990622251807462,1
Antoine Semenyo,False,block,assisted,left-foot,8.4,62.7,0.077061504125595,54,15.226621424334423,1
Nico O'Reilly,False,goal,assisted,head,5.0,48.2,0.42778408527374,51,5.314132102234568,1
Rayan Cherki,False,block,assisted,right-foot,9.5,70.5,0.034293331205845,47,22.594247055390007,1
Erling Haaland,False,miss,assisted,right-foot,11.3,39.3,0.31982418894768,47,15.562133529821676,1
Andrey Santos,True,miss,set-piece,head,7.6,58.0,0.10318442434072,45,11.034491379306976,1
Antoine Semenyo,False,block,assisted,left-foot,19.4,49.5,0.061313815414906,45,19.406442229321684,1
Rayan Cherki,False,save,assisted,left-foot,15.0,48.1,0.170340269804,39,15.11985449665439,1
Bernardo Silva,False,save,assisted,left-foot,7.8,46.1,0.18385015428066,34,8.72066511224918,1
Bernardo Silva,False,block,regular,right-foot,11.9,48.1,0.069303035736084,22,12.050726119201283,1
Jérémy Doku,False,block,assisted,right-foot,10.8,33.4,0.088257253170013,21,19.804039991880448,1
Pedro Neto,True,save,assisted,left-foot,6.3,30.9,0.046710666269064,19,20.11218536111877,1
Cole Palmer,True,block,assisted,right-foot,21.0,59.1,0.048056300729513,10,22.88689581398054,1
João Pedro,True,block,assisted,left-foot,3.9,35.6,0.095054470002651,9,14.918780110987626,1
Cole Palmer,True,miss,fast-break,left-foot,3.2,32.7,0.06142533197999,6,17.593464695732898,1
